id,Sample Code,soilSource,soilRange,soilSite,seedRange,combo,patchType,seedSite,Sample Name,feature count,shannon_r1000,shannon
inv_wash_45,M45,PSF Experiment Root Wash,Invaded,RB,Invaded,invSoil_invSeed,nonYST,RB,546 RB RB,6525,4.60427076,4.571104842
inv_wash_46,M46,PSF Experiment Root Wash,Invaded,LEB,Invaded,invSoil_invSeed,nonYST,LEB,45 LEB LEB,13104,5.362839167,5.415855801
inv_wash_47,M47,PSF Experiment Root Wash,Invaded,GIL,Invaded,invSoil_invSeed,nonYST,GIL,372 GIL GIL,35067,6.775059732,6.798271675
inv_wash_51,M51,PSF Experiment Root Wash,Invaded,GIL,Native,invSoil_natSeed,nonYST,CAN,275 CAN GIL,15387,5.681562146,5.752425895
inv_wash_52,M52,PSF Experiment Root Wash,Invaded,TRI,Native,invSoil_natSeed,nonYST,GRA,75 GRA TRI,5997,4.119263092,4.080363585
inv_wash_54,M54,PSF Experiment Root Wash,Invaded,TRI,Invaded,invSoil_invSeed,nonYST,RB,362 RB TRI,32722,6.687683274,6.732642922
inv_wash_57,M57,PSF Experiment Root Wash,Invaded,RB,Invaded,invSoil_invSeed,nonYST,GIL,365 GIL RB,1395,3.086791492,
inv_wash_86,M86,PSF Experiment Root Wash,Invaded,RB,Native,invSoil_natSeed,nonYST,CAN,613 CAN RB,3,,
inv_wash_90,M90,PSF Experiment Root Wash,Invaded,RB,Invaded,invSoil_invSeed,nonYST,TRI,292 TRI RB,39304,6.319899248,6.375501765
inv_wash_91,M91,PSF Experiment Root Wash,Invaded,RB,Invaded,invSoil_invSeed,nonYST,GIL,298 GIL RB,31422,6.646931751,6.700033371
inv_wash_92,M92,PSF Experiment Root Wash,Invaded,RB,Invaded,invSoil_invSeed,nonYST,RB,88 RB RB,5476,4.107389015,4.07064759
inv_wash_93,M93,PSF Experiment Root Wash,Invaded,GIL,Native,invSoil_natSeed,nonYST,CAN,570 CAN GIL,41281,6.736096811,6.815131818
inv_wash_94,M94,PSF Experiment Root Wash,Invaded,LEB,Native,invSoil_natSeed,nonYST,GRA,48 GRA LEB,9073,5.081591806,5.085571431
inv_wash_95,M95,PSF Experiment Root Wash,Invaded,LEB,Native,invSoil_natSeed,nonYST,CAN,629 CAN LEB,16475,6.081959711,6.029190031
inv_wash_96,M96,PSF Experiment Root Wash,Invaded,LEB,Invaded,invSoil_invSeed,nonYST,GIL,726 GIL LEB,34007,6.913011965,7.000508324
inv_wash_98,M98,PSF Experiment Root Wash,Invaded,GIL,Invaded,invSoil_invSeed,nonYST,LEB,612 LEB GIL,59801,7.18500139,7.348072132
inv_wash_99,M99,PSF Experiment Root Wash,Invaded,GIL,Invaded,invSoil_invSeed,nonYST,RB,598 RB GIL,10904,5.100953737,5.126375148
nat_wash_111,M111,PSF Experiment Root Wash,Native,SAZ,Invaded,natSoil_invSeed,nonYST,GIL,807 GIL SAZ,15572,5.753471967,5.780313865
nat_wash_59,M59,PSF Experiment Root Wash,Native,SAZ,Invaded,natSoil_invSeed,nonYST,TRI,798 TRI SAZ,12978,5.558430207,5.554239741
nat_wash_F100,MF100,PSF Experiment Root Wash,Native,GRA,Invaded,natSoil_invSeed,nonYST,GIL,380 GIL GRA,33321,6.446414332,6.52413676
nat_wash_F102,MF102,PSF Experiment Root Wash,Native,CAZ,Native,natSoil_natSeed,nonYST,GRA,367 GRA CAZ,5899,4.202761988,4.170011564
nat_wash_F103,MF103,PSF Experiment Root Wash,Native,CAN,Native,natSoil_natSeed,nonYST,SAZ,444 SAZ CAN,37768,6.722695497,6.734977601
nat_wash_F105,MF105,PSF Experiment Root Wash,Native,GRA,Invaded,natSoil_invSeed,nonYST,GIL,20 GIL GRA,36930,6.617265141,6.683889738
nat_wash_F106,MF106,PSF Experiment Root Wash,Native,GRA,Invaded,natSoil_invSeed,nonYST,TRI,343 TRI GRA,29376,6.693370016,6.78189923
nat_wash_F107,MF107,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,TRI,349 TRI CAZ,32053,6.627023168,6.687480437
nat_wash_F108,MF108,PSF Experiment Root Wash,Native,CAN,Invaded,natSoil_invSeed,nonYST,RB,581 RB CAN,27164,6.215424447,6.30445343
nat_wash_F109,MF109,PSF Experiment Root Wash,Native,CAN,Invaded,natSoil_invSeed,nonYST,RB,27 RB CAN,4689,4.168656231,4.189642673
nat_wash_F111,MF111,PSF Experiment Root Wash,Native,CAN,Invaded,natSoil_invSeed,nonYST,TRI,4 TRI CAN,30592,6.851753519,6.862875771
nat_wash_F112,MF112,PSF Experiment Root Wash,Native,CAN,Invaded,natSoil_invSeed,nonYST,GIL,26 GIL CAN,14179,5.310718134,5.395772189
